company_symbol,company_name,quarter,year,current_value,previous_value,flow,flow_formula,foreign_ownership,max_allowed,investor_limit,reinvested_earnings_flow,net_profit_foreign_investor,distributed_profits_foreign_investor
2222,أرامكو السعودية,Q1,2025,1356603.0,1342442.0,14161.0,Q1 2025 - Annual 2024,49.0%,0.63%,0.0%,0,0,0
2382,أديس,Q1,2025,2398770.0,2446821.0,-48051.0,Q1 2025 - Annual 2024,49.0%,7.45%,0.0%,0,0,0
2382,أديس,Q2,2025,2587373.0,2398770.0,188603.0,Q2 2025 - Q1 2025,49.0%,7.45%,0.0%,0,0,0
2030,المصافي,Q1,2025,163856674.0,161776167.0,2080507.0,Q1 2025 - Annual 2024,49.0%,3.12%,0.0%,0,0,0
